date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999985895198,1.0000000013328247,46303774477
2024-12-25,1.0,0.9999999984209437,1.0000000015872732,46303774477
2024-12-26,1.0,0.9999999980489896,1.0000000017180886,46303774477
2024-12-27,1.0,0.9999999972642,1.0000000022692983,46303774477
2024-12-28,1.0,0.9999999957241625,1.0000000030677565,46303774477
2024-12-29,1.0,0.9999999937998382,1.0000000048012532,46303774477
2024-12-30,1.0,0.9999999921377268,1.0000000067536143,46303774477
2024-12-31,1.0,0.9999999898761995,1.000000008493626,46303774477
2025-01-01,1.0,0.9999999874646586,1.0000000108682887,46303774477
2025-01-02,1.0,0.9999999844592177,1.0000000133186657,46303774477
2025-01-03,1.0,0.9999999821760387,1.000000015651881,46303774477
2025-01-04,1.0,0.9999999791015755,1.0000000186466602,46303774477
2025-01-05,1.0,0.99999997624673,1.0000000210925957,46303774477
2025-01-06,1.0,0.999999972876974,1.000000023692779,46303774477
2025-01-07,1.0,0.9999999695817195,1.0000000268339995,46303774477
2025-01-08,1.0,0.9999999657917192,1.0000000296394356,46303774477
2025-01-09,1.0,0.9999999631047166,1.0000000329047445,46303774477
2025-01-10,1.0,0.9999999583757451,1.0000000363107144,46303774477
2025-01-11,1.0,0.9999999550413544,1.0000000398350921,46303774477
2025-01-12,1.0,0.9999999514354525,1.0000000433285237,46303774477
2025-01-13,1.0,0.9999999470514335,1.0000000469198331,46303774477
2025-01-14,1.0,0.9999999418114255,1.000000049967132,46303774477
2025-01-15,1.0,0.9999999367440134,1.0000000534817448,46303774477
2025-01-16,1.0,0.9999999317944025,1.000000058204334,46303774477
2025-01-17,1.0,0.9999999273474568,1.0000000631712773,46303774477
2025-01-18,1.0,0.9999999237212149,1.0000000672765017,46303774477
2025-01-19,1.0,0.9999999185649384,1.0000000712997164,46303774477
2025-01-20,1.0,0.9999999154891469,1.0000000749151043,46303774477
2025-03-04,1.9999996656589085,1.9999996656574388,1.9999996656602008,46303862950
2025-03-05,1.9999996656589087,1.9999996656573136,1.9999996656604424,46303862950
2025-03-06,1.9999996656589092,1.9999996656574304,1.9999996656604537,46303862950
2025-03-07,1.9999996656589094,1.9999996656572392,1.9999996656604448,46303862950
2025-03-08,1.9999996656589096,1.9999996656569832,1.9999996656606152,46303862950
2025-03-09,1.99999966565891,1.9999996656567651,1.9999996656608852,46303862950
2025-03-10,1.9999996656589103,1.9999921923090562,1.9999996656609778,46303862950
2025-03-11,1.9999996656589105,1.999957456493215,2.0000038784015417,46303862950
2025-03-12,1.9999996656589107,1.9999242835136983,2.000028409181062,46303862950
2025-03-13,1.9999996656589112,1.999866782604462,2.0000695312669117,46303862950
2025-03-14,1.9999996656589114,1.9998110476345827,2.000105915876329,46303862950
2025-03-15,1.9999996656589116,1.9997233079414394,2.000143452476954,46303862950
2025-03-16,1.9999996656589119,1.9996427458478883,2.0001998317526763,46303862950
2025-03-17,1.9999996656589123,1.9995358122772557,2.0002950603281997,46303862950
2025-03-18,1.9999996656589125,1.9994101057534255,2.0004108334041772,46303862950
2025-03-19,1.9999996656589127,1.999280495672133,2.000499358461837,46303862950
2025-03-20,1.9999996656589132,1.9991303191405827,2.0005918944280756,46303862950
2025-03-21,1.9999996656589134,1.9989858172381079,2.0006569605190587,46303862950
2025-03-22,1.9999996656589136,1.9988055016259252,2.0007422795613365,46303862950
2025-03-23,1.9999996656589138,1.9986624555956103,2.0008268571517442,46303862950
2025-03-24,1.9999996656589143,1.9985591171452404,2.000929826429444,46303862950
2025-03-25,1.9999996656589145,1.998442474421908,2.001030428978293,46303862950
2025-03-26,1.9999996656589147,1.9983019611828579,2.0011152493771855,46303862950
2025-03-27,1.999999665658915,1.9981497786198368,2.001218415928135,46303862950
2025-03-28,1.9999996656589154,1.9979772227579498,2.0013140961697147,46303862950
2025-03-29,1.9999996656589156,1.9978438462715697,2.0014686324469153,46303862950
2025-03-30,1.9999996656589158,1.9976628142079114,2.0016644451673082,46303862950
2025-03-31,1.9999996656589163,1.9974924397857836,2.001787652261897,46303862950
2025-03-04,5.434594712288739,1.3218866870719272,9.489002532762624,46303877432
2025-03-05,4.865590756422694,0.9275492717614737,9.284471135135545,46303877432
2025-03-06,4.296586800556636,0.11056102298910242,8.620808989087523,46303877432
2025-03-07,3.727582844690591,-0.5265031053211873,7.544568624747828,46303877432
2025-03-08,3.1585788888245467,-0.9836082079211473,7.283103277895576,46303877432
2025-03-09,2.5895749329585023,-1.5517879924854516,6.369414055859773,46303877432
2025-03-10,2.020570977092458,-1.8281916590869887,6.278141627035792,46303877432
